time,id,x,y,0,1,2,3,4,5,6,7,8
1,26,386003.0,6671471.0,-43.65,-16.97,5.69,-16.48,7.79,-15.38,-13.88,-15.05,-25.79
1,27,386112.0,6671785.0,-51.78,-2.63,-35.9,-51.67,-33.04,16.62,-52.88,-46.4,-49.33
1,28,385854.0,6671586.0,-47.29,-32.18,-3.67,-26.62,17.32,-21.31,-18.15,-24.72,-28.74
1,29,385506.0,6671492.0,-45.24,-13.26,-21.8,-9.71,-11.73,-4.7,-19.5,14.72,-7.65
1,3,385968.0,6671328.0,-50.26,-33.64,18.56,-15.46,-5.14,-27.21,-23.75,-24.95,-36.11
1,30,386025.0,6671168.0,-48.49,-35.98,20.31,-20.29,-6.69,-22.02,-29.64,-31.68,-42.36
1,31,385878.0,6671743.0,-25.39,-11.86,-6.15,-24.27,8.3,4.54,-22.93,-21.61,-23.3
1,32,385469.0,6671638.0,-42.7,-17.79,-15.38,-13.33,-2.98,1.33,-21.31,1.91,5.83
1,34,385777.0,6671542.0,-34.35,-19.0,-7.48,-22.39,8.66,-8.45,2.17,-4.21,-9.99
1,35,385293.0,6671841.0,-30.15,-38.12,-22.19,-9.95,-38.66,-32.37,-19.27,19.93,-9.31
1,36,385921.0,6671649.0,-25.74,-22.36,-7.09,-25.76,17.04,-16.65,-7.49,-13.43,-20.16
1,37,385577.0,6671708.0,-30.27,-12.91,-2.28,-10.04,7.27,0.67,-14.58,-6.31,-2.28
1,38,385395.0,6671710.0,-39.01,-16.41,-20.91,-13.1,-19.26,-11.66,-21.05,2.02,11.15
1,39,385736.0,6671812.0,-25.05,-10.64,-5.73,-24.37,-0.34,10.43,-29.12,-8.49,-5.3
1,4,385541.0,6671139.0,-64.33,-41.78,-14.66,16.42,-27.01,-38.91,-10.31,-10.69,-4.92
1,40,385649.0,6671296.0,-71.95,-51.77,-37.96,-17.71,-21.51,-47.04,-25.4,29.62,-36.94
1,42,385261.0,6671966.0,-8.63,-26.58,-18.32,-15.47,-18.76,-16.17,-12.97,-0.42,12.43
1,43,386207.0,6671626.0,-45.34,2.86,-11.84,-21.35,-11.95,10.16,-21.64,-22.72,-32.95
1,44,386217.0,6671792.0,-44.75,-12.94,-28.21,-45.27,-25.96,26.55,-46.24,-39.35,-42.09
