,time,id,x,y,speed,east,north,coor,sinr,site
80,31,1,1872.06,980.47,7.95,386119,6671545,3861196671545,12.8345,12
81,31,2,1781.96,591.26,5.77,386029,6671156,3860296671156,14.8624,6
82,31,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
83,31,6,1028.8,600.08,7.36,385276,6671164,3852766671164,17.3731,11
84,31,7,2001.24,1306.13,8.53,386248,6671870,3862486671870,22.3254,3
85,32,0,1325.09,1593.09,8.28,385572,6672157,3855726672157,10.5502,10
86,32,1,1872.1,974.11,6.35,386119,6671538,3861196671538,20.6207,12
87,32,2,1781.81,597.13,5.87,386029,6671161,3860296671161,16.8849,6
88,32,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
89,32,6,1033.54,606.03,7.57,385281,6671170,3852816671170,17.9436,11
90,32,7,1993.3,1305.95,7.95,386240,6671870,3862406671870,22.1039,3
91,33,0,1329.91,1586.04,8.54,385577,6672150,3855776672150,9.5063,10
92,33,1,1872.06,965.46,8.66,386119,6671530,3861196671530,21.1517,12
93,33,2,1781.66,603.09,5.97,386029,6671167,3860296671167,26.0000,6
94,33,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
95,33,6,1038.42,612.15,7.8,385285,6671176,3852856671176,18.6346,11
96,33,7,1985.78,1305.8,7.51,386233,6671870,3862336671870,16.9316,3
97,34,0,1334.51,1579.31,8.15,385582,6672144,3855826672144,7.9242,10
98,34,1,1871.44,957.01,8.47,386118,6671521,3861186671521,19.2490,12
99,34,2,1781.51,609.28,6.19,386029,6671174,3860296671174,25.8778,6
100,34,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
101,34,6,1043.67,618.75,8.4,385291,6671183,3852916671183,18.9663,11
102,34,7,1977.38,1305.59,8.41,386224,6671870,3862246671870,14.7986,3
103,35,0,1339.33,1572.27,8.53,385586,6672137,3855866672137,6.3365,10
104,35,1,1871.16,949.22,7.81,386118,6671514,3861186671514,5.9717,12
105,35,2,1781.36,615.25,5.97,386028,6671180,3860286671180,25.3958,6
106,35,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
107,35,6,1048.41,624.7,7.58,385295,6671189,3852956671189,19.3695,11
108,35,7,1968.87,1305.34,8.51,386216,6671870,3862166671870,15.5202,3
109,36,0,1346.72,1566.81,8.69,385594,6672131,3855946672131,17.5812,5
110,36,1,1871.29,940.74,8.48,386118,6671505,3861186671505,5.1934,12
111,36,2,1781.25,621.07,5.83,386028,6671185,3860286671185,25.3442,6
112,36,4,1575.83,1276.77,0.0,385823,6671841,3858236671841,1.9065,3
113,36,6,1053.44,630.91,8.0,385300,6671195,3853006671195,19.8673,11
114,36,7,1960.48,1305.09,8.4,386208,6671869,3862086671869,15.6252,3
115,37,0,1351.72,1559.95,8.62,385599,6672124,3855996672124,12.3750,5
116,37,1,1871.4,933.2,7.55,386118,6671498,3861186671498,12.1264,12
117,37,2,1781.07,627.83,6.75,386028,6671192,3860286671192,25.3800,6
118,37,3,1225.4,527.02,7.88,385472,6671091,3854726671091,4.2513,9
119,37,4,1574.32,1278.78,2.53,385821,6671843,3858216671843,1.5718,3
120,37,6,1058.19,636.58,7.45,385305,6671201,3853056671201,20.5290,11
121,37,7,1952.56,1304.85,7.92,386200,6671869,3862006671869,24.5514,3
122,38,0,1356.04,1554.7,7.45,385603,6672119,3856036672119,7.2222,10
123,38,1,1871.53,925.08,8.11,386119,6671489,3861196671489,5.7816,12
124,38,2,1780.88,634.19,6.37,386028,6671199,3860286671199,25.3771,6
125,38,3,1231.96,531.29,7.84,385479,6671096,3854796671096,4.7753,9
126,38,4,1571.76,1282.29,4.39,385819,6671847,3858196671847,1.4999,8
127,38,6,1063.65,642.89,8.34,385311,6671207,3853116671207,21.5594,11
128,38,7,1945.13,1304.63,7.44,386192,6671869,3861926671869,24.7320,3
129,39,0,1360.79,1547.59,8.31,385608,6672112,3856086672112,5.6124,5
130,39,1,1871.62,918.79,6.3,386119,6671483,3861196671483,4.6252,12
131,39,2,1780.71,640.15,5.96,386028,6671204,3860286671204,25.3407,6
132,39,3,1239.55,536.12,8.99,385487,6671100,3854876671100,4.9283,9
133,39,4,1568.08,1287.54,6.41,385815,6671852,3858156671852,13.0114,8
134,39,6,1068.51,648.52,7.44,385316,6671213,3853166671213,23.4403,11
135,39,7,1936.72,1304.4,8.41,386184,6671869,3861846671869,24.6661,3
136,40,0,1365.28,1541.47,7.57,385612,6672106,3856126672106,7.6384,5
137,40,1,1871.83,910.49,8.4,386119,6671475,3861196671475,4.0013,4
138,40,2,1780.52,646.62,6.47,386028,6671211,3860286671211,25.2486,6
139,40,3,1246.83,540.76,8.63,385494,6671105,3854946671105,5.0885,9
140,40,4,1563.78,1293.67,7.51,385811,6671858,3858116671858,1.9019,8
141,40,5,1523.78,1269.97,7.38,385771,6671834,3857716671834,4.7611,8
142,40,6,1073.33,654.1,7.37,385320,6671218,3853206671218,23.9341,11
143,40,7,1928.49,1304.19,8.23,386176,6671869,3861766671869,24.1128,3
144,41,0,1370.24,1534.66,8.41,385617,6672099,3856176672099,8.3136,5
145,41,1,1873.12,901.84,8.76,386120,6671466,3861206671466,6.5812,4
146,41,2,1780.34,653.32,6.7,386027,6671218,3860276671218,25.1846,6
147,41,3,1253.66,545.11,8.1,385501,6671109,3855016671109,4.9538,9
148,41,4,1559.36,1300.0,7.7,385806,6671864,3858066671864,2.4060,3
149,41,5,1518.1,1266.3,6.76,385765,6671831,3857656671831,4.5712,8
150,41,6,1078.79,660.41,8.34,385326,6671225,3853266671225,24.7124,11
151,41,7,1920.03,1303.98,8.46,386167,6671868,3861676671868,23.8162,3
152,42,0,1374.92,1528.32,7.9,385622,6672093,3856226672093,5.7741,10
153,42,1,1873.55,894.14,8.02,386121,6671458,3861216671458,6.8460,4
154,42,2,1780.17,659.4,6.09,386027,6671224,3860276671224,22.1303,6
155,42,3,1260.81,549.66,8.48,385508,6671114,3855086671114,4.9129,9
156,42,4,1554.91,1306.18,7.61,385802,6671871,3858026671871,3.6429,3
157,42,5,1512.23,1262.52,6.99,385759,6671827,3857596671827,4.5224,8
158,42,6,1083.64,666.03,7.43,385331,6671230,3853316671230,24.4277,11
159,42,7,1912.54,1303.79,7.5,386160,6671868,3861606671868,23.9034,3
160,43,0,1379.61,1522.01,7.85,385627,6672086,3856276672086,7.4385,10
161,43,1,1873.79,885.33,8.82,386121,6671450,3861216671450,6.8701,4
162,43,2,1779.98,665.78,6.38,386027,6671230,3860276671230,16.6950,6
163,43,3,1267.74,554.07,8.21,385515,6671118,3855156671118,5.2374,9
164,43,4,1551.11,1311.51,6.55,385798,6671876,3857986671876,2.2554,10
165,43,5,1507.09,1259.21,6.11,385754,6671824,3857546671824,4.9242,8
166,43,6,1088.67,671.85,7.7,385336,6671236,3853366671236,23.9158,11
167,43,7,1904.88,1303.6,7.67,386152,6671868,3861526671868,24.9741,3
168,44,0,1384.23,1515.63,7.87,385631,6672080,3856316672080,8.5989,10
169,44,1,1874.03,876.7,8.63,386121,6671441,3861216671441,7.2711,4
170,44,2,1779.81,671.7,5.92,386027,6671236,3860276671236,16.8285,6
171,44,3,1274.39,558.31,7.88,385521,6671123,3855216671123,5.8150,9
172,44,4,1546.87,1317.47,7.31,385794,6671882,3857946671882,3.2016,10
173,44,5,1501.5,1255.6,6.65,385749,6671820,3857496671820,5.1578,8
174,44,6,1094.14,678.18,8.36,385341,6671243,3853416671243,25.9636,11
175,44,7,1897.14,1303.39,7.73,386144,6671868,3861446671868,25.5712,3
176,45,0,1388.94,1508.89,8.2,385636,6672073,3856366672073,8.7115,10
177,45,1,1874.26,868.19,8.52,386121,6671433,3861216671433,7.7051,4
178,45,2,1779.64,677.88,6.18,386027,6671242,3860276671242,16.9465,6
179,45,3,1281.3,562.71,8.19,385528,6671127,3855286671127,6.3710,9
180,45,4,1542.9,1323.03,6.83,385790,6671887,3857906671887,3.9078,10
181,45,5,1495.51,1251.7,7.14,385743,6671816,3857436671816,5.2783,8
182,45,6,1099.09,683.9,7.57,385346,6671248,3853466671248,27.7240,11
183,45,7,1888.98,1303.16,8.16,386136,6671868,3861366671868,24.5617,3
184,46,0,1393.41,1502.5,7.79,385640,6672067,3856406672067,7.8060,10
185,46,1,1874.49,859.54,8.65,386122,6671424,3861226671424,8.3026,4
186,46,2,1779.44,684.74,6.85,386026,6671249,3860266671249,17.1131,6
187,46,3,1288.36,567.21,8.37,385535,6671132,3855356671132,6.8783,9
188,46,4,1538.51,1329.18,7.57,385786,6671894,3857866671894,4.4904,10
189,46,5,1489.53,1247.77,7.16,385737,6671812,3857376671812,5.3835,8
190,46,6,1104.31,689.95,7.99,385351,6671254,3853516671254,26.1357,11
191,46,7,1880.56,1302.92,8.42,386128,6671867,3861286671867,21.8028,3
192,47,0,1397.9,1496.1,7.82,385645,6672060,3856456672060,8.0965,10
193,47,1,1874.72,851.27,8.27,386122,6671416,3861226671416,8.1244,4
194,47,2,1779.26,690.81,6.08,386026,6671255,3860266671255,17.2399,6
195,47,3,1293.1,570.24,5.62,385540,6671135,3855406671135,6.6873,9
196,47,4,1536.09,1335.8,7.48,385783,6671900,3857836671900,4.5803,10
197,47,5,1483.78,1243.98,6.89,385731,6671808,3857316671808,5.6702,8
198,47,6,1109.26,695.67,7.57,385356,6671260,3853566671260,26.0892,11
199,47,7,1872.5,1302.69,8.16,386120,6671867,3861206671867,11.6851,3
200,48,0,1402.41,1489.69,7.84,385649,6672054,3856496672054,9.0345,10
201,48,1,1874.94,843.09,8.19,386122,6671407,3861226671407,8.3731,4
202,48,2,1779.07,697.18,6.37,386026,6671262,3860266671262,17.4299,6
203,48,3,1299.24,575.48,8.14,385546,6671140,3855466671140,6.2297,9
204,48,4,1533.1,1341.8,6.69,385780,6671906,3857806671906,4.4757,10
205,48,5,1478.6,1240.57,6.21,385726,6671805,3857266671805,5.6954,8
206,48,6,1114.24,701.21,7.68,385361,6671266,3853616671266,24.8690,11
207,48,7,1864.72,1302.48,7.79,386112,6671867,3861126671867,8.2858,3
208,49,0,1407.21,1482.94,8.3,385654,6672047,3856546672047,10.4521,10
209,49,1,1875.16,834.82,8.26,386122,6671399,3861226671399,7.1377,4
210,49,2,1778.82,704.04,6.87,386026,6671268,3860266671268,17.6229,6
211,49,3,1305.5,580.51,8.08,385553,6671145,3855536671145,6.5325,9
212,49,4,1529.38,1347.79,6.99,385776,6671912,3857766671912,4.4595,10
213,49,5,1472.69,1236.67,7.08,385720,6671801,3857206671801,6.6593,8
214,49,6,1120.28,706.51,8.07,385367,6671271,3853676671271,20.8958,11
215,49,7,1856.63,1302.31,8.11,386104,6671867,3861046671867,20.4519,3
216,50,0,1411.87,1476.48,7.97,385659,6672041,3856596672041,9.5385,10
