,time,id,x,y,speed,east,north,coor,sinr,site
0,0,0,1995.48,1531.21,0.0,386243,6672096,3862436672096,8.1355,4
1,1,0,1997.76,1531.24,2.38,386245,6672096,3862456672096,8.0408,4
2,1,1,1880.64,767.18,0.0,386128,6671332,3861286671332,6.2368,6
3,1,10,1440.4,674.26,0.0,385687,6671239,3856876671239,39.3480,9
4,1,11,1013.86,1401.51,0.0,385261,6671966,3852616671966,30.3794,5
5,1,12,1975.72,983.76,0.0,386223,6671548,3862236671548,25.0458,12
6,1,13,1546.26,799.44,0.0,385793,6671364,3857936671364,5.0030,6
7,1,14,1336.78,1148.6,0.0,385584,6671713,3855846671713,11.6154,8
8,1,15,1330.88,1123.51,0.0,385578,6671688,3855786671688,8.9284,2
9,1,16,1142.56,1126.87,0.0,385390,6671691,3853906671691,12.6402,8
10,1,17,1613.92,1181.07,0.0,385861,6671745,3858616671745,6.3166,3
11,1,18,1021.62,1288.46,0.0,385269,6671853,3852696671853,7.4839,5
12,1,19,1308.13,963.34,0.0,385555,6671528,3855556671528,2.1919,8
13,1,2,1983.13,771.53,0.0,386230,6671336,3862306671336,15.3075,12
14,1,21,1976.64,1073.21,0.0,386224,6671638,3862246671638,16.3726,12
15,1,22,1059.95,1253.23,0.0,385307,6671818,3853076671818,4.3869,9
16,1,23,1984.08,965.52,0.0,386231,6671530,3862316671530,24.0077,12
17,1,24,1331.1,841.7,0.0,385578,6671406,3855786671406,7.7529,9
18,1,25,1773.97,802.37,0.0,386021,6671367,3860216671367,24.6994,6
19,1,26,1579.36,748.69,0.0,385826,6671313,3858266671313,29.1193,6
20,1,27,1551.14,1284.87,0.0,385798,6671849,3857986671849,2.0626,8
21,1,29,1232.07,1290.65,0.0,385479,6671855,3854796671855,10.2500,7
22,1,3,1909.36,1303.71,0.0,386156,6671868,3861566671868,23.7551,3
23,1,30,1918.6,776.47,0.0,386166,6671341,3861666671341,9.0990,6
24,1,31,1453.44,927.82,0.0,385700,6671492,3857006671492,26.4176,2
25,1,32,1485.08,606.17,0.0,385732,6671171,3857326671171,16.3903,9
26,1,33,1462.54,1229.97,0.0,385710,6671794,3857106671794,11.4227,2
27,1,35,1961.26,965.9,0.0,386208,6671530,3862086671530,25.9834,12
28,1,36,1871.82,813.29,0.0,386119,6671378,3861196671378,6.3040,6
29,1,37,1585.6,1013.41,0.0,385833,6671578,3858336671578,33.1353,2
30,1,38,1239.85,1295.68,0.0,385487,6671860,3854876671860,24.6523,7
31,1,4,1268.32,1218.98,0.0,385515,6671783,3855156671783,6.7013,5
32,1,42,1061.03,639.87,0.0,385308,6671204,3853086671204,20.6406,11
33,1,43,1758.16,1258.86,0.0,386005,6671823,3860056671823,28.5316,3
34,1,44,1805.94,810.86,0.0,386053,6671375,3860536671375,20.0692,6
35,1,45,1396.71,740.25,0.0,385644,6671305,3856446671305,40.2540,9
36,1,46,1874.63,956.74,0.0,386122,6671521,3861226671521,16.8259,12
37,1,47,1563.99,591.04,0.0,385811,6671155,3858116671155,17.7587,6
38,1,48,1564.82,1000.24,0.0,385812,6671565,3858126671565,39.0448,2
39,1,49,1318.12,861.06,0.0,385565,6671425,3855656671425,10.7654,9
40,1,5,1874.39,1535.54,0.0,386121,6672100,3861216672100,16.3618,4
