,time,vehicle,x,y,east,north,coor,sinr,site
89,2,5,1179.27,1419.59,385427,6671984,3854276671984,20.5454,5
90,2,6,1572.92,1289.84,385820,6671855,3858206671855,12.6760,8
91,2,7,1783.46,806.83,386031,6671372,3860316671372,24.4212,6
92,2,8,1779.76,806.72,386027,6671372,3860276671372,24.6091,6
93,2,9,1969.2,965.94,386217,6671531,3862176671531,23.2610,12
94,3,0,1883.97,1528.97,386132,6672094,3861326672094,11.2380,10
95,3,1,1363.95,1537.88,385612,6672103,3856126672103,10.0437,5
96,3,10,1349.94,1556.99,385597,6672122,3855976672122,11.2680,5
97,3,11,1034.87,1161.15,385282,6671726,3852826671726,4.1128,7
98,3,12,1739.34,1300.04,385987,6671865,3859876671865,23.7429,3
99,3,13,1611.59,1295.6,385859,6671860,3858596671860,5.6988,3
100,3,14,1771.23,838.23,386019,6671403,3860196671403,26.1197,6
101,3,15,1977.05,921.77,386225,6671487,3862256671487,28.6973,12
102,3,16,1770.34,886.62,386018,6671451,3860186671451,7.3395,6
103,3,17,1781.0,1110.42,386029,6671675,3860296671675,9.6471,3
104,3,18,1539.52,803.92,385787,6671369,3857876671369,5.0092,6
105,3,19,1103.31,1311.63,385351,6671876,3853516671876,8.6392,5
106,3,2,1975.78,981.51,386223,6671546,3862236671546,25.2661,12
107,3,20,1922.36,962.87,386170,6671528,3861706671528,32.4025,12
108,3,21,1876.13,549.79,386124,6671115,3861246671115,4.8328,6
109,3,22,1792.78,1110.84,386040,6671676,3860406671676,11.8894,3
110,3,23,1011.82,1012.82,385259,6671578,3852596671578,17.4463,1
111,3,24,1402.6,1305.27,385650,6671870,3856506671870,11.2426,7
112,3,25,1035.76,1295.17,385283,6671860,3852836671860,6.9987,5
113,3,26,1877.13,1232.43,386125,6671797,3861256671797,9.9595,3
114,3,27,1230.97,678.06,385479,6671243,3854796671243,10.4902,11
115,3,28,1232.6,1461.14,385480,6672026,3854806672026,14.1842,5
116,3,29,1776.58,673.01,386024,6671238,3860246671238,16.9672,6
117,3,3,1865.0,1222.75,386113,6671788,3861136671788,9.4427,3
118,3,30,1260.66,632.12,385508,6671197,3855086671197,8.1893,11
119,3,31,1550.33,1280.46,385798,6671845,3857986671845,10.4537,8
120,3,32,1252.88,796.26,385500,6671361,3855006671361,10.2293,2
121,3,33,1837.86,1235.32,386085,6671800,3860856671800,27.7387,3
122,3,34,1302.34,957.81,385550,6671523,3855506671523,2.4896,8
123,3,35,1101.37,880.81,385349,6671446,3853496671446,8.9038,1
124,3,36,1670.23,1299.13,385918,6671864,3859186671864,23.5314,3
125,3,37,1308.03,1129.89,385556,6671695,3855566671695,14.7045,8
126,3,38,1244.52,1298.71,385492,6671864,3854926671864,25.1342,7
127,3,39,1168.05,867.89,385416,6671433,3854166671433,6.5762,1
128,3,4,1981.85,825.99,386229,6671391,3862296671391,10.5174,12
129,3,40,1982.62,797.29,386230,6671362,3862306671362,16.4665,12
130,3,42,1983.09,783.72,386231,6671349,3862316671349,14.3473,12
131,3,43,1124.75,844.92,385372,6671410,3853726671410,5.4912,1
132,3,45,1424.23,657.88,385672,6671223,3856726671223,35.0377,9
133,3,47,1856.55,909.2,386104,6671474,3861046671474,7.8313,12
134,3,48,1169.11,1420.82,385417,6671986,3854176671986,21.7594,5
135,3,49,1059.54,939.67,385307,6671505,3853076671505,18.7985,1
136,3,5,1182.79,1422.03,385430,6671987,3854306671987,18.9934,5
137,3,6,1572.9,1289.84,385820,6671855,3858206671855,12.6760,8
138,3,7,1786.74,806.95,386034,6671372,3860346671372,24.2376,6
139,3,8,1778.3,806.69,386026,6671372,3860266671372,24.5252,6
140,3,9,1966.42,965.96,386214,6671531,3862146671531,24.3329,12
141,4,0,1892.28,1529.15,386140,6672094,3861406672094,11.6051,10
142,4,1,1368.02,1532.28,385616,6672097,3856166672097,6.1723,5
