,time,vehicle,x,y,east,north,coor,sinr,site
89,12,1,1874.03,876.7,386122,6671442,3.86123E+12,0.3522,4
90,12,2,1779.81,671.7,386027,6671237,3.86028E+12,9.8484,6
91,12,3,1274.39,558.31,385522,6671123,3.85523E+12,-1.1311,9
92,12,4,1546.87,1317.47,385794,6671882,3.85795E+12,-3.9616,10
93,12,5,1501.5,1255.6,385749,6671820,3.8575E+12,-1.9674,8
94,12,6,1094.14,678.18,385342,6671243,3.85343E+12,18.7935,11
95,12,7,1897.14,1303.39,386145,6671868,3.86146E+12,18.7475,3
96,13,0,1388.94,1508.89,385636,6672074,3.85637E+12,2.2053,10
97,13,1,1874.26,868.19,386122,6671433,3.86123E+12,0.8708,4
98,13,2,1779.64,677.88,386027,6671243,3.86028E+12,9.9619,6
99,13,3,1281.3,562.71,385529,6671128,3.8553E+12,-0.5276,9
100,13,4,1542.9,1323.03,385790,6671888,3.85791E+12,-3.2622,10
101,13,5,1495.51,1251.7,385743,6671817,3.85744E+12,-1.8977,8
102,13,6,1099.09,683.9,385347,6671249,3.85348E+12,20.0304,11
103,13,7,1888.98,1303.16,386137,6671868,3.86138E+12,17.7536,3
104,14,0,1393.41,1502.5,385641,6672067,3.85642E+12,0.3975,10
105,14,1,1874.49,859.54,386122,6671424,3.86123E+12,1.3034,4
106,14,2,1779.44,684.74,386027,6671250,3.86028E+12,10.0956,6
107,14,3,1288.36,567.21,385536,6671132,3.85537E+12,-0.0718,9
108,14,4,1538.51,1329.18,385786,6671894,3.85787E+12,-2.6695,10
109,14,5,1489.53,1247.77,385737,6671813,3.85738E+12,-1.7983,8
110,14,6,1104.31,689.95,385352,6671255,3.85353E+12,19.0401,11
111,14,7,1880.56,1302.92,386128,6671868,3.86129E+12,15.0115,3
112,15,0,1397.9,1496.1,385645,6672061,3.85646E+12,0.638,10
113,15,1,1874.72,851.27,386122,6671416,3.86123E+12,1.1252,4
114,15,2,1779.26,690.81,386027,6671256,3.86028E+12,10.2336,6
115,15,3,1293.1,570.24,385541,6671135,3.85542E+12,-0.5856,9
116,15,4,1536.09,1335.8,385784,6671901,3.85785E+12,-2.7628,10
117,15,5,1483.78,1243.98,385731,6671809,3.85732E+12,-1.4964,8
