,time,id,x,y,speed,east,north,coor,sinr,site
77,34,1,1869.04,1082.19,6.67,386116,6671647,3.86117E+12,11.8732,4
78,34,2,1867.1,1145.97,7.86,386114,6671710,3.86115E+12,7.8876,4
79,34,3,1174.87,1077.51,8.1,385422,6671642,3.85423E+12,14.1798,8
80,35,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
81,35,1,1869.28,1074.96,7.24,386116,6671639,3.86117E+12,10.6349,4
82,35,2,1867.3,1138.88,7.54,386114,6671703,3.86115E+12,8.6225,4
83,35,3,1170.45,1084.2,8.01,385418,6671649,3.85419E+12,14.16,8
84,36,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
85,36,1,1869.51,1068.12,6.94,386117,6671632,3.86118E+12,8.9886,4
86,36,2,1867.51,1131.32,7.56,386115,6671696,3.86116E+12,9.2573,4
87,36,3,1166.16,1090.71,7.8,385413,6671655,3.85414E+12,14.9536,8
88,37,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
89,37,1,1869.75,1060.73,7.39,386117,6671625,3.86118E+12,10.7388,4
90,37,2,1867.69,1124.43,7,386115,6671689,3.86116E+12,9.7135,4
91,37,3,1161.68,1097.5,8.13,385409,6671662,3.8541E+12,13.1074,8
92,38,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
93,38,1,1869.99,1053.77,6.97,386117,6671618,3.86118E+12,11.287,4
94,38,2,1867.92,1116.36,8.35,386115,6671681,3.86116E+12,10.1053,4
95,38,3,1156.93,1104.69,8.61,385404,6671669,3.85405E+12,13.3415,8
96,39,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
97,39,1,1870.22,1046.34,7.43,386117,6671611,3.86118E+12,10.7481,4
98,39,2,1868.16,1108.57,7.79,386115,6671673,3.86116E+12,10.6822,4
99,39,3,1153.42,1110.04,8.91,385400,6671674,3.85401E+12,13.9194,8
100,40,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
101,40,1,1870.42,1039.45,6.98,386117,6671604,3.86118E+12,9.5843,4
102,40,2,1868.42,1100.9,7.77,386115,6671665,3.86116E+12,11.0974,4
103,40,3,1148.8,1117.32,8.62,385396,6671682,3.85397E+12,12.896,8
104,40,4,1324.67,843.06,0,385572,6671407,3.85573E+12,10.4482,9
105,41,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
106,41,1,1870.62,1032.22,7.23,386118,6671597,3.86119E+12,9.8154,4
107,41,2,1868.7,1092.53,8.37,386116,6671657,3.86117E+12,11.8162,4
108,41,3,1146.37,1121.12,8.43,385393,6671685,3.85394E+12,12.8942,8
109,41,4,1324.67,843.06,0,385572,6671407,3.85573E+12,10.4482,9
110,42,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
111,42,1,1870.82,1025.29,7.04,386118,6671590,3.86119E+12,10.4515,4
112,42,2,1868.96,1084.77,7.87,386116,6671649,3.86117E+12,11.9317,4
113,42,3,1141.97,1127.76,7.96,385389,6671692,3.8539E+12,12.6177,8
114,42,4,1324.67,843.06,0,385572,6671407,3.85573E+12,10.4482,9
115,43,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
116,43,1,1871,1018.79,6.6,386118,6671583,3.86119E+12,11.7956,4
117,43,2,1869.22,1076.62,8.16,386116,6671641,3.86117E+12,11.2467,4
118,43,3,1137.79,1134.31,7.78,385385,6671699,3.85386E+12,7.3744,8
119,43,4,1324.67,843.06,0,385572,6671407,3.85573E+12,10.4482,9
120,44,0,1539.71,1279.99,0,385787,6671844,3.85788E+12,1.6449,8
121,44,1,1871.18,1012.18,6.62,386118,6671577,3.86119E+12,11.2589,4
122,44,2,1869.5,1068.38,8.33,386117,6671633,3.86118E+12,8.9605,4
123,44,3,1139.07,1139.68,6.19,385386,6671704,3.85387E+12,6.2112,8
124,44,4,1324.67,843.06,0,385572,6671407,3.85573E+12,10.4482,9
125,45,0,1538.04,1279.11,1.82,385785,6671843,3.85786E+12,1.6211,8
126,45,1,1871.38,1004.92,7.26,386118,6671569,3.86119E+12,10.3024,4
127,45,2,1869.76,1060.63,7.76,386117,6671625,3.86118E+12,10.7388,4
128,45,3,1143.44,1142.6,5.26,385390,6671707,3.85391E+12,6.2181,7
129,45,4,1326.34,844.14,1.99,385573,6671408,3.85574E+12,7.956,2
130,46,0,1534.99,1277.2,3.5,385782,6671842,3.85783E+12,1.5394,8
131,46,1,1871.57,998.14,6.78,386119,6671562,3.8612E+12,9.3695,4
132,46,2,1870.01,1053.14,7.5,386117,6671617,3.86118E+12,10.7632,4
133,46,3,1149.64,1146.59,7.38,385397,6671711,3.85398E+12,6.5385,7
134,46,4,1329.4,846.12,3.63,385576,6671410,3.85577E+12,12.3513,2
135,47,0,1529.95,1273.94,6.03,385777,6671838,3.85778E+12,2.8733,8
136,47,1,1871.76,991.21,6.94,386119,6671556,3.8612E+12,7.7566,4
137,47,2,1870.26,1045.26,7.87,386117,6671610,3.86118E+12,10.8618,4
138,47,3,1156.52,1151.03,8.18,385404,6671715,3.85405E+12,6.6828,7
139,47,4,1334.25,849.28,5.78,385581,6671414,3.85582E+12,16.8315,2
140,48,0,1523.78,1269.97,7.33,385771,6671834,3.85772E+12,4.7611,8
141,48,1,1871.96,984.25,6.96,386119,6671549,3.8612E+12,7.5265,12
142,48,2,1870.48,1037.3,8.06,386118,6671602,3.86119E+12,9.7361,4
143,48,3,1163.88,1155.77,8.75,385411,6671720,3.85412E+12,7.0657,7
144,48,4,1340.35,853.29,7.3,385587,6671418,3.85588E+12,18.0469,2
145,49,0,1516.88,1265.52,8.21,385764,6671830,3.85765E+12,4.5906,8
146,49,1,1872.1,976.78,7.47,386119,6671541,3.8612E+12,20.5512,12
147,49,2,1870.71,1029.09,8.24,386118,6671593,3.86119E+12,10.1063,4
148,49,3,1171.43,1160.65,8.99,385418,6671725,3.85419E+12,6.9615,7
149,49,4,1347.27,857.84,8.28,385594,6671422,3.85595E+12,18.5128,2
150,50,0,1509.79,1260.95,8.44,385757,6671825,3.85758E+12,4.6024,8
151,50,1,1872.12,971.59,5.19,386119,6671536,3.8612E+12,20.8734,12
152,50,2,1870.9,1022.07,7.19,386118,6671586,3.86119E+12,11.3304,4
153,50,3,1178.69,1165.31,8.62,385426,6671730,3.85427E+12,7.2265,8
154,50,4,1354.25,862.44,8.36,385601,6671427,3.85602E+12,19.1147,2
155,50,5,1593.33,1009.3,0,385840,6671574,3.85841E+12,17.4202,2
156,51,0,1503.19,1256.69,7.86,385750,6671821,3.85751E+12,5.1194,8
157,51,1,1872.03,964.28,7.31,386119,6671529,3.8612E+12,21.179,12
158,51,2,1871.13,1014.12,7.95,386118,6671578,3.86119E+12,11.3581,4
159,51,3,1186.02,1170.03,8.72,385433,6671734,3.85434E+12,6.2048,8
160,51,4,1361.35,867.11,8.5,385608,6671431,3.85609E+12,19.5987,2
161,51,5,1595.66,1009.04,2.56,385843,6671573,3.85844E+12,15.1286,2
162,52,0,1496.66,1252.45,7.78,385744,6671817,3.85745E+12,5.2436,8
163,52,1,1871.52,957.76,6.53,386119,6671522,3.8612E+12,20.9771,12
164,52,2,1871.34,1006.38,7.74,386118,6671571,3.86119E+12,10.5722,4
165,52,3,1193.43,1174.81,8.82,385440,6671739,3.85441E+12,6.9157,7
166,52,4,1367.84,871.37,7.77,385615,6671436,3.85616E+12,20.1941,2
167,52,5,1595.85,1011.33,2.42,385843,6671576,3.85844E+12,18.7709,2
168,53,0,1489.46,1247.73,8.6,385737,6671812,3.85738E+12,5.3835,8
169,53,1,1871.14,950.07,7.72,386118,6671514,3.86119E+12,5.9717,12
170,53,2,1871.57,998.26,8.13,386119,6671563,3.8612E+12,9.6478,4
171,53,3,1200.27,1179.21,8.13,385447,6671744,3.85448E+12,8.0301,7
172,53,4,1374.36,875.65,7.8,385621,6671440,3.85622E+12,20.6908,2
173,53,5,1596.22,1014.72,3.78,385843,6671579,3.85844E+12,19.4521,2
174,54,0,1482.77,1243.32,8.02,385730,6671808,3.85731E+12,5.672,8
175,54,1,1871.25,942.99,7.08,386118,6671507,3.86119E+12,5.7167,12
176,54,2,1871.8,990,8.26,386119,6671554,3.8612E+12,7.0432,4
177,54,3,1207.12,1183.63,8.16,385454,6671748,3.85455E+12,9.7619,7
178,54,4,1380,879.4,7.88,385627,6671444,3.85628E+12,21.2296,2
179,54,5,1598.9,1016.55,3.26,385846,6671581,3.85847E+12,18.9446,2
180,55,0,1475.81,1238.73,8.34,385723,6671803,3.85724E+12,5.6505,8
181,55,1,1871.35,936.45,6.53,386118,6671501,3.86119E+12,6.2812,12
182,55,2,1872.03,981.72,8.28,386119,6671546,3.8612E+12,8.7577,12
183,55,3,1214.55,1188.41,8.83,385462,6671753,3.85463E+12,10.6506,7
184,55,4,1386.24,883.54,7.49,385633,6671448,3.85634E+12,21.7013,2
185,55,5,1601.14,1017.93,5.77,385848,6671582,3.85849E+12,18.8415,2
186,56,0,1469.42,1234.51,7.66,385716,6671799,3.85717E+12,5.3386,8
187,56,1,1871.46,929.36,7.1,386119,6671494,3.8612E+12,10.6074,12
188,56,2,1872.1,974.24,7.48,386119,6671539,3.8612E+12,20.5156,12
189,56,3,1221.53,1192.92,8.31,385469,6671757,3.8547E+12,10.0042,7
190,56,4,1393.39,888.28,8.57,385640,6671453,3.85641E+12,22.4432,2
191,56,5,1607.01,1021.49,6.81,385854,6671586,3.85855E+12,18.5752,2
192,57,0,1462.3,1229.81,8.53,385709,6671794,3.8571E+12,14.0383,2
193,57,1,1871.57,922.12,7.24,386119,6671486,3.8612E+12,6.5879,4
194,57,2,1872.08,966,8.25,386119,6671530,3.8612E+12,21.1517,12
195,57,3,1228.67,1197.52,8.49,385476,6671762,3.85477E+12,11.2211,7
196,57,4,1400.37,892.91,8.38,385647,6671457,3.85648E+12,23.0792,2
197,57,5,1612.04,1024.85,6.03,385859,6671589,3.8586E+12,17.7764,2
198,58,0,1455.7,1225.48,7.91,385703,6671790,3.85704E+12,12.1975,2
199,58,1,1871.65,916.79,5.42,386119,6671481,3.8612E+12,4.3682,4
200,58,2,1871.53,957.93,8.08,386119,6671522,3.8612E+12,20.9771,12
201,58,3,1235.39,1201.86,8,385482,6671766,3.85483E+12,12.8778,7
202,58,4,1407.28,897.46,8.27,385654,6671462,3.85655E+12,23.3609,2
203,58,5,1617.09,1028.23,6.07,385864,6671593,3.85865E+12,16.7214,2
204,59,1,1871.16,912.14,4.73,386118,6671476,3.86119E+12,4.5616,12
205,59,2,1871.14,950.35,7.61,386118,6671515,3.86119E+12,5.914,12
206,59,3,1242.45,1206.4,8.4,385490,6671771,3.85491E+12,15.062,7
207,59,4,1414.43,902.17,8.56,385661,6671467,3.85662E+12,24.097,2
208,59,5,1622.28,1031.69,6.23,385869,6671596,3.8587E+12,15.8987,2
209,60,1,1866.66,909.48,5.65,386114,6671474,3.86115E+12,6.7768,12
210,60,2,1871.26,942.58,7.77,386118,6671507,3.86119E+12,5.7167,12
211,60,3,1249.27,1210.79,8.11,385496,6671775,3.85497E+12,16.2532,7
212,60,4,1420.56,906.2,7.35,385668,6671471,3.85669E+12,24.9326,2
213,60,5,1627.61,1035.25,6.41,385875,6671600,3.85876E+12,15.0247,2
214,60,6,1307.74,1345.5,0,385555,6671910,3.85556E+12,19.8389,7
215,61,1,1859.96,909.3,6.8,386107,6671474,3.86108E+12,7.6553,12
216,61,2,1871.38,934.59,7.99,386118,6671499,3.86119E+12,10.1864,12
217,61,3,1255.78,1214.98,7.75,385503,6671779,3.85504E+12,16.3481,7
218,61,4,1427.31,910.64,8.18,385674,6671475,3.85675E+12,25.6877,2
219,61,5,1633.06,1038.9,6.56,385880,6671603,3.85881E+12,14.4143,2
220,61,6,1306.54,1347.32,2.18,385554,6671912,3.85555E+12,19.5602,7
221,62,1,1852.48,909.08,7.49,386100,6671473,3.86101E+12,7.7951,12
222,62,2,1871.51,926.29,8.3,386119,6671491,3.8612E+12,9.344,12
223,62,3,1261.39,1218.6,6.68,385508,6671783,3.85509E+12,15.515,7
224,62,4,1434.13,915.13,8.16,385681,6671479,3.85682E+12,26.588,2
225,62,5,1638.42,1043.04,6.91,385885,6671607,3.85886E+12,13.8147,2
226,62,6,1304.49,1350.48,4.43,385552,6671915,3.85553E+12,18.966,7
227,63,1,1845.62,908.88,6.86,386093,6671473,3.86094E+12,8.0717,12
228,63,2,1871.61,919.35,6.95,386119,6671484,3.8612E+12,4.6895,4
229,63,3,1266.05,1224.39,7.73,385513,6671789,3.85514E+12,7.1653,5
230,63,4,1441.17,919.76,8.42,385688,6671484,3.85689E+12,27.5514,2
231,63,5,1643.93,1046.77,6.84,385891,6671611,3.85892E+12,14.4625,2
232,63,6,1300.68,1356.38,7.02,385548,6671921,3.85549E+12,13.8289,7
233,64,1,1838.38,908.67,7.25,386085,6671473,3.86086E+12,8.4282,12
234,64,2,1871.52,913.58,5.87,386119,6671478,3.8612E+12,4.573,4
235,64,3,1264.36,1231.49,7.52,385511,6671796,3.85512E+12,6.6168,7
236,64,4,1447.9,924.2,8.16,385695,6671489,3.85696E+12,28.4411,2
237,64,5,1641.79,1046.21,6.67,385889,6671611,3.8589E+12,15.0415,2
238,64,6,1296.18,1363.34,8.29,385543,6671928,3.85544E+12,13.0453,7
239,65,1,1831.65,908.46,6.73,386079,6671473,3.8608E+12,9.2334,12
240,65,2,1867.97,909.64,5.84,386115,6671474,3.86116E+12,6.5825,12
241,65,3,1260.11,1238.09,7.85,385507,6671802,3.85508E+12,8.1327,7
242,65,4,1454,928.19,7.31,385701,6671493,3.85702E+12,26.5891,2
243,65,5,1646.18,1049.35,5.32,385893,6671614,3.85894E+12,17.4032,2
244,65,6,1291.87,1370.01,8.05,385539,6671934,3.8554E+12,12.1026,7
245,66,1,1824.44,908.24,7.21,386071,6671473,3.86072E+12,8.937,12
246,66,2,1862.48,909.37,5.61,386110,6671474,3.86111E+12,7.2734,12
247,66,3,1255.67,1244.93,8.15,385503,6671809,3.85504E+12,9.8246,7
248,66,4,1460.76,932.64,8.05,385708,6671497,3.85709E+12,25.2696,2
249,66,5,1650.95,1052.86,5.96,385898,6671617,3.85899E+12,18.4384,2
250,66,6,1287.76,1376.37,7.56,385535,6671941,3.85536E+12,11.05,7
251,67,1,1816.77,908,7.67,386064,6671472,3.86065E+12,9.0257,12
252,67,2,1855.32,909.16,7.16,386102,6671474,3.86103E+12,7.8572,12
253,67,3,1250.95,1252.23,8.69,385498,6671817,3.85499E+12,11.9139,7
254,67,4,1467.01,936.75,7.49,385714,6671501,3.85715E+12,31.4202,2
255,67,5,1656.04,1057.13,6.17,385903,6671621,3.85904E+12,27.0911,2
256,67,6,1283.69,1382.69,7.53,385531,6671947,3.85532E+12,9.9411,7
257,68,1,1809.81,907.83,6.96,386057,6671472,3.86058E+12,9.0802,12
258,68,2,1847.26,908.93,8.07,386094,6671473,3.86095E+12,8.096,12
259,68,3,1246.34,1259.34,8.47,385493,6671824,3.85494E+12,13.4011,7
260,68,4,1473.58,941.01,7.83,385721,6671505,3.85722E+12,32.5501,2
261,68,5,1659.73,1063.19,6.62,385907,6671628,3.85908E+12,26.9934,2
262,68,6,1279.06,1389.86,8.54,385526,6671954,3.85527E+12,8.6233,7
263,69,1,1803.27,907.66,6.54,386050,6671472,3.86051E+12,8.7754,12
264,69,2,1839.95,908.72,7.31,386087,6671473,3.86088E+12,7.9923,12
265,69,3,1241.59,1266.67,8.74,385489,6671831,3.8549E+12,14.2527,7
266,69,4,1479.79,945.04,7.4,385727,6671509,3.85728E+12,33.4022,2
267,69,5,1660.32,1069.2,5.85,385907,6671634,3.85908E+12,26.5682,2
268,69,6,1274.44,1397,8.5,385521,6671961,3.85522E+12,7.3633,7
269,70,1,1795.71,907.47,7.56,386043,6671472,3.86044E+12,8.2392,12
270,70,2,1832.08,908.48,7.87,386079,6671473,3.8608E+12,9.2334,12
271,70,3,1236.77,1274.11,8.87,385484,6671838,3.85485E+12,13.1732,7
272,70,4,1485.93,949.03,7.33,385733,6671513,3.85734E+12,34.4582,2
273,70,5,1661.63,1075.94,6.83,385909,6671640,3.8591E+12,24.0605,2
274,70,6,1270.4,1403.26,7.55,385517,6671968,3.85518E+12,9.068,7
275,70,7,1981.91,818.64,0,386229,6671383,3.8623E+12,12.6533,12
276,71,1,1788.07,907.28,7.64,386035,6671472,3.86036E+12,7.6452,12
277,71,2,1824.37,908.23,7.71,386071,6671473,3.86072E+12,8.937,12
278,71,3,1232.75,1280.31,7.39,385480,6671845,3.85481E+12,12.7285,7
279,71,4,1492.89,953.55,8.3,385740,6671518,3.85741E+12,35.8693,2
280,71,5,1661.21,1082.27,6.21,385908,6671647,3.85909E+12,9.9948,2
281,71,6,1266.26,1409.65,7.61,385513,6671974,3.85514E+12,9.1743,7
282,71,7,1981.88,821.24,2.6,386229,6671386,3.8623E+12,12.6144,12
283,72,1,1781.51,907.11,6.56,386029,6671471,3.8603E+12,6.956,12
284,72,2,1816.58,908,7.79,386064,6671472,3.86065E+12,9.0257,12
285,72,3,1230.03,1284.89,5.33,385477,6671849,3.85478E+12,11.3582,7
286,72,4,1499.76,958,8.18,385747,6671522,3.85748E+12,37.3837,2
287,72,5,1660.54,1087.58,6.66,385908,6671652,3.85909E+12,8.9918,6
288,72,6,1261.71,1416.71,8.4,385509,6671981,3.8551E+12,8.6505,7
289,72,7,1981.86,825.24,4,386229,6671390,3.8623E+12,10.6134,12
290,73,1,1777.2,907,4.3,386024,6671471,3.86025E+12,5.4383,12
291,73,2,1808.63,907.8,7.95,386056,6671472,3.86057E+12,9.0849,12
292,73,3,1231.21,1289.94,5.73,385478,6671854,3.85479E+12,10.837,7
293,73,4,1506.29,962.24,7.79,385753,6671527,3.85754E+12,38.7668,2
294,73,5,1660.34,1093.27,5.69,385907,6671658,3.85908E+12,9.9744,6
295,73,6,1257.38,1423.4,7.97,385504,6671988,3.85505E+12,7.7103,7
296,73,7,1981.85,831.05,5.8,386229,6671395,3.8623E+12,12.8563,12
297,74,1,1770.7,906.82,6.51,386018,6671471,3.86019E+12,4.978,12
298,74,2,1801.35,907.61,7.28,386048,6671472,3.86049E+12,8.6176,12
299,74,3,1235.71,1292.99,5.45,385483,6671857,3.85484E+12,21.3244,7
300,74,4,1512.8,966.46,7.75,385760,6671531,3.85761E+12,40.4937,2
301,74,5,1660.12,1099.8,6.53,385907,6671664,3.85908E+12,10.5086,6
302,74,6,1252.69,1430.66,8.64,385500,6671995,3.85501E+12,6.83,7
303,74,7,1981.77,838.38,7.33,386229,6671403,3.8623E+12,17.3811,12
304,75,1,1764.06,906.63,6.64,386011,6671471,3.86012E+12,3.899,12
305,75,2,1794.04,907.43,7.32,386041,6671472,3.86042E+12,8.0899,12
306,75,3,1242.05,1297.11,7.56,385489,6671861,3.8549E+12,24.8426,7
307,75,4,1519.08,970.55,7.49,385766,6671535,3.85767E+12,41.8065,2
308,75,5,1659.92,1105.71,5.91,385907,6671670,3.85908E+12,10.7975,6
309,75,6,1248.47,1437.19,7.87,385496,6672002,3.85497E+12,6.1905,7
310,75,7,1981.65,844.87,6.49,386229,6671409,3.8623E+12,18.5389,12
311,76,1,1757.19,906.43,6.87,386004,6671471,3.86005E+12,4.5197,2
312,76,2,1786.41,907.24,7.63,386033,6671472,3.86034E+12,7.4983,12
313,76,3,1248.56,1301.33,7.76,385496,6671866,3.85497E+12,26.4043,7
314,76,4,1525.74,974.87,8.13,385773,6671539,3.85774E+12,42.9338,2
315,76,5,1659.68,1112.52,6.82,385907,6671677,3.85908E+12,11.1827,6
316,76,6,1244.42,1443.47,7.48,385491,6672008,3.85492E+12,6.3973,7
317,76,7,1981.52,851.61,6.74,386229,6671416,3.8623E+12,19.1241,12
318,77,1,1749.97,906.23,7.23,385997,6671471,3.85998E+12,4.8372,2
319,77,2,1780.36,907.08,6.05,386027,6671471,3.86028E+12,5.7715,12
320,77,3,1255.11,1305.57,7.8,385502,6671870,3.85503E+12,26.0466,7
321,77,4,1531.92,978.88,7.37,385779,6671543,3.8578E+12,43.353,2
322,77,5,1659.47,1118.56,6.04,385907,6671683,3.85908E+12,11.4237,6
323,77,6,1240.77,1449.04,6.66,385488,6672013,3.85489E+12,13.8744,5
324,77,7,1981.4,858.22,6.61,386228,6671423,3.86229E+12,19.8925,12
325,78,1,1743.27,906.03,6.7,385990,6671470,3.85991E+12,5.5279,2
326,78,2,1772.87,906.88,7.48,386020,6671471,3.86021E+12,5.1649,12
327,78,3,1261.71,1309.86,7.88,385509,6671874,3.8551E+12,24.5327,7
328,78,4,1539.03,983.49,8.47,385786,6671548,3.85787E+12,42.9818,2
329,78,5,1659.26,1124.89,6.34,385906,6671689,3.85907E+12,11.642,6
330,78,6,1238.14,1453.74,5.42,385485,6672018,3.85486E+12,14.0508,5
331,78,7,1981.28,864.81,6.59,386228,6671429,3.86229E+12,20.4818,12
332,79,1,1736.66,905.84,6.62,385984,6671470,3.85985E+12,6.1199,2
