,time,id,x,y,speed,east,north,coor,sinr,site
0,0,0,1128.73,1133.09,0.0,385376,6671697,3853766671697,7.6818,8
1,1,0,1130.91,1134.51,2.6,385378,6671699,3853786671699,5.2203,8
2,1,1,1756.11,1226.53,0.0,386003,6671791,3860036671791,15.2314,3
3,1,100,1963.68,1519.05,0.0,386211,6672083,3862116672083,9.7363,12
4,1,11,1638.9,1076.99,0.0,385886,6671641,3858866671641,12.2272,2
5,1,12,1340.33,1537.72,0.0,385587,6672102,3855876672102,9.5112,5
6,1,14,1850.28,1112.84,0.0,386097,6671677,3860976671677,12.5357,3
7,1,15,1909.36,1303.71,0.0,386156,6671868,3861566671868,23.7551,3
8,1,16,1961.26,965.9,0.0,386208,6671530,3862086671530,25.9834,12
9,1,17,1276.29,938.64,0.0,385523,6671503,3855236671503,1.9236,8
10,1,18,1437.73,666.71,0.0,385685,6671231,3856856671231,37.3948,9
11,1,19,1328.78,687.5,0.0,385576,6671252,3855766671252,15.1745,9
12,1,2,1662.22,997.65,0.0,385909,6671562,3859096671562,14.4342,2
13,1,20,1576.78,746.78,0.0,385824,6671311,3858246671311,28.9583,6
14,1,21,1440.4,674.26,0.0,385687,6671239,3856876671239,39.3480,9
15,1,22,1126.63,1011.55,0.0,385374,6671576,3853746671576,16.4744,1
16,1,23,1268.78,619.89,0.0,385516,6671184,3855166671184,5.9653,11
17,1,24,1603.77,1027.01,0.0,385851,6671591,3858516671591,31.6333,2
18,1,25,1051.32,952.44,0.0,385298,6671517,3852986671517,7.9147,1
19,1,26,1405.63,726.82,0.0,385653,6671291,3856536671291,44.7106,9
20,1,27,1969.24,1409.11,0.0,386216,6671973,3862166671973,10.1088,12
21,1,28,1528.49,1273.0,0.0,385776,6671837,3857766671837,3.5903,8
22,1,3,1966.81,1524.08,0.0,386214,6672088,3862146672088,6.4396,12
23,1,30,1871.41,1107.16,0.0,386118,6671672,3861186671672,10.9183,4
24,1,31,1968.54,1345.5,0.0,386216,6671910,3862166671910,10.9997,12
25,1,32,2017.2,966.23,0.0,386264,6671531,3862646671531,28.7114,12
26,1,34,1513.56,1133.09,0.0,385761,6671697,3857616671697,12.8769,7
27,1,36,1978.39,848.11,0.0,386225,6671412,3862256671412,19.2840,12
28,1,37,1529.96,977.61,0.0,385777,6671542,3857776671542,43.2618,2
29,1,38,1556.78,1262.62,0.0,385804,6671827,3858046671827,5.2805,3
