,time,id,x,y,speed,east,north,coor,sinr,site
0,0,0,1122.15,843.06,0.0,385369,6671407,3853696671407,6.4118,1
1,1,0,1123.31,841.3,2.12,385370,6671406,3853706671406,6.0415,1
2,1,1,1674.58,1197.2,0.0,385922,6671762,3859226671762,4.4326,4
3,1,10,1875.15,984.6,0.0,386122,6671549,3861226671549,6.3855,12
4,1,11,1776.12,754.39,0.0,386023,6671319,3860236671319,26.4080,6
5,1,12,1249.79,1091.83,0.0,385497,6671656,3854976671656,24.4245,8
6,1,13,1879.09,806.5,0.0,386126,6671371,3861266671371,6.0058,4
7,1,15,1310.17,583.56,0.0,385557,6671148,3855576671148,8.0803,9
8,1,16,1920.38,1060.71,0.0,386167,6671625,3861676671625,28.5767,12
9,1,17,1131.73,1356.71,0.0,385379,6671921,3853796671921,7.8294,5
10,1,18,1605.06,1153.45,0.0,385852,6671718,3858526671718,3.2828,2
11,1,19,1640.35,1298.52,0.0,385887,6671863,3858876671863,11.4644,3
12,1,2,1774.1,849.93,0.0,386021,6671414,3860216671414,26.0326,6
13,1,3,1865.5,1204.42,0.0,386113,6671769,3861136671769,10.6500,3
14,1,4,1465.78,1211.42,0.0,385713,6671776,3857136671776,13.2979,2
15,1,5,1974.29,1039.84,0.0,386221,6671604,3862216671604,32.7779,12
16,1,6,1004.84,760.94,0.0,385252,6671325,3852526671325,11.3916,11
17,1,7,2057.04,832.69,0.0,386304,6671397,3863046671397,,
18,1,8,1582.76,1011.89,0.0,385830,6671576,3858306671576,35.9569,2
19,1,9,1889.43,1056.56,0.0,386136,6671621,3861366671621,15.8738,12
20,2,0,1125.86,837.39,4.67,385373,6671402,3853736671402,4.9645,1
21,2,1,1676.44,1198.45,2.25,385923,6671763,3859236671763,5.5566,3
22,2,10,1875.09,986.61,2.01,386122,6671551,3861226671551,6.5903,4
23,2,11,1775.86,756.39,2.02,386023,6671321,3860236671321,26.4512,6
24,2,12,1248.13,1090.74,1.99,385495,6671655,3854956671655,23.7585,8
25,2,13,1879.06,808.01,1.51,386126,6671372,3861266671372,5.9543,4
26,2,15,1312.21,584.89,2.43,385559,6671149,3855596671149,8.4551,9
27,2,16,1918.74,1060.66,1.64,386166,6671625,3861666671625,26.0121,12
28,2,17,1133.81,1358.08,2.49,385381,6671922,3853816671922,7.7136,5
29,2,18,1606.27,1154.65,1.63,385853,6671719,3858536671719,3.2778,3
30,2,19,1638.78,1295.29,1.63,385886,6671860,3858866671860,10.6878,3
31,2,2,1774.02,852.45,2.52,386021,6671417,3860216671417,26.2390,6
32,2,3,1865.56,1202.43,1.99,386113,6671767,3861136671767,10.5187,3
33,2,4,1464.61,1213.29,2.2,385712,6671778,3857126671778,7.5451,2
34,2,5,1974.33,1038.21,1.73,386221,6671603,3862216671603,32.6598,12
35,2,6,1006.41,761.97,1.88,385253,6671326,3852536671326,11.7561,11
36,2,7,2054.86,832.63,2.18,386302,6671397,3863026671397,16.2294,12
37,2,8,1583.91,1012.65,1.55,385831,6671577,3858316671577,34.9772,2
38,2,9,1891.14,1056.62,1.71,386138,6671621,3861386671621,16.4018,12
39,3,0,1126.09,837.03,0.43,385373,6671401,3853736671401,4.9270,1
40,3,1,1679.84,1200.72,4.11,385927,6671765,3859276671765,5.2242,3
41,3,10,1874.97,990.8,4.19,386122,6671555,3861226671555,8.0573,4
42,3,11,1775.46,760.36,4.0,386023,6671325,3860236671325,25.2072,6
43,3,12,1245.21,1088.83,3.48,385492,6671653,3854926671653,23.9686,8
44,3,13,1878.96,812.03,4.02,386126,6671376,3861266671376,5.7497,4
45,3,15,1315.78,587.21,4.26,385563,6671152,3855636671152,8.4763,9
46,3,16,1915.55,1060.56,3.19,386163,6671625,3861636671625,16.8741,12
47,3,17,1137.44,1360.49,4.36,385384,6671925,3853846671925,20.1863,7
48,3,18,1607.91,1158.2,3.81,385855,6671723,3858556671723,3.6987,3
49,3,19,1635.08,1295.22,3.71,385882,6671860,3858826671860,10.1398,3
50,3,2,1773.88,856.64,4.19,386021,6671421,3860216671421,26.3398,6
51,3,3,1865.66,1198.59,3.84,386113,6671763,3861136671763,10.3108,3
52,3,4,1462.07,1217.35,4.79,385709,6671782,3857096671782,6.9616,8
53,3,5,1974.44,1034.1,4.12,386221,6671598,3862216671598,32.3914,12
54,3,6,1009.44,763.95,3.61,385256,6671328,3852566671328,12.5602,11
